name,aliases,carb_g,sugar_g,kcal
흰쌀밥,쌀밥,70,0,310
잡곡밥,,66,1,300
현미밥,,64,1,290
곤드레밥,,60,1,270
콩나물밥,,62,1,300
오징어덮밥,,72,10,430
제육덮밥,제육볶음|제육정식,60,10,480
참치덮밥,,68,8,440
낙지덮밥,낙지볶음,65,9,420
소고기덮밥,규동,78,10,540
오므라이스,,75,15,600
카레라이스,야채카레라이스,88,12,580
김치볶음밥,참치김치볶음밥,68,6,540
새우볶음밥,,66,4,520
전복죽,,45,2,320
야채죽,,42,2,280
호박죽,단호박죽,55,15,300
팥죽,,60,10,320
비빔밥,돌솥비빔밥|산채비빔밥,80,10,560
육회비빔밥,,75,8,520
된장찌개,된장찌개백반,24,4,310
김치찌개,김치찌개백반,20,6,380
순두부찌개,,18,5,340
부대찌개,부대전골,45,10,600
청국장찌개,,20,3,320
감자탕,뼈해장국,15,4,550
갈비탕,,10,3,450
설렁탕,,8,2,400
곰탕,,8,2,400
육개장,,20,5,350
삼계탕,닭백숙,20,2,650
매운탕,,15,3,400
알탕,,12,3,420
동태탕,,14,3,380
추어탕,,18,3,350
대구탕,,12,2,350
순대국,순대국밥,25,3,500
콩나물국밥,,35,3,380
우거지국밥,,32,3,370
선지해장국,,20,3,400
두부전골,,25,5,400
짜장면,자장면|간짜장,95,12,650
짬뽕,해물짬뽕,80,8,600
우동,가케우동,70,5,450
잔치국수,,68,4,400
비빔국수,,72,15,450
콩국수,,60,3,500
열무국수,,65,8,400
라면,신라면,80,4,500
짜파게티,,90,10,600
너구리,,85,6,550
물냉면,,80,10,450
비빔냉면,,85,15,480
막국수,,75,9,420
메밀소바,,55,4,350
쌀국수,베트남쌀국수,65,5,400
크림파스타,알프레도파스타,70,6,700
토마토파스타,토마토소스파스타,75,8,600
오일파스타,알리오올리오,65,3,550
까르보나라,스파게티까르보나라,72,5,750
야키우동,우동볶음,68,6,480
떡볶이,매운떡볶이|국물떡볶이|즉석떡볶이,55,18,320
라볶이,,70,15,480
순대,,30,3,300
튀김만두,군만두,40,3,350
김밥,참치김밥|야채김밥,55,5,350
치즈김밥,,58,6,400
유부초밥,,50,10,350
어묵탕,오뎅탕,20,2,150
핫도그,,45,15,400
어묵꼬치,,15,2,120
계란빵,,30,10,200
붕어빵,,40,15,220
호떡,,45,20,280
찹쌀도넛,,35,15,250
야채호떡,,42,18,260
삼겹살,삼겹살구이,5,1,650
목살구이,,5,1,600
소갈비,LA갈비,15,8,700
소불고기,불고기,25,15,400
돼지불고기,제육불고기,20,12,420
갈비찜,소갈비찜,20,12,500
찜닭,,45,15,600
닭갈비,,40,15,550
오리훈제,,5,1,500
훈제삼겹살,,5,1,600
육회,,5,3,250
육사시미,,3,2,200
스테이크,안심스테이크,10,2,550
함박스테이크,,30,10,500
떡갈비,,25,10,400
족발,족발(小),5,3,700
보쌈,보쌈(小),8,3,600
후라이드치킨,프라이드치킨,20,2,850
양념치킨,양념통닭,35,12,900
간장치킨,,30,15,850
반반치킨,,30,10,880
핫윙,,15,5,600
돈까스,등심돈까스,55,8,700
치즈돈까스,,58,9,780
함박돈까스,,60,10,750
탕수육,찹쌀탕수육,60,20,650
깐풍기,,45,18,700
초밥,모듬초밥,60,5,400
연어초밥,,55,4,380
참치초밥,,55,4,380
돈부리,돼지고기덮밥,75,8,520
라멘,,70,5,600
돈코츠라멘,,72,5,650
텐동,새우튀김덮밥,80,10,600
야키소바,,65,10,480
오코노미야키,,45,10,450
규카츠,소고기까스,50,7,650
사케동,연어덮밥,70,6,480
짬뽕밥,,75,8,580
마파두부,,20,8,350
팔보채,,25,10,400
유린기,,35,15,500
깐쇼새우,,25,12,400
중식볶음밥,,68,5,550
계란볶음밥,,65,4,500
양장피,,40,10,450
고추잡채,,30,8,350
마라샹궈,,35,6,600
탄탄면,딴딴면,60,4,550
유산슬,,20,6,350
피자,페퍼로니피자|치즈피자,90,10,780
리조또,버섯리조또,70,6,600
라자냐,,55,10,650
그라탕,감자그라탕,45,10,550
햄버거,,45,10,550
치즈버거,,48,12,600
샌드위치,,40,8,400
클럽샌드위치,,45,9,500
오믈렛,치즈오믈렛,10,3,350
브런치플레이트,,50,12,600
시저샐러드,,20,5,350
나폴리탄파스타,,70,10,600
회덮밥,연어회덮밥|광어회덮밥,75,10,480
물회,,50,15,400
조개찜,,10,2,250
대게찜,,8,2,300
새우튀김,,25,3,350
오징어튀김,,28,3,350
문어숙회,,5,1,180
굴전,,20,3,300
해물파전,,40,5,450
낙지볶음,,25,10,350
김치전,,35,5,350
파전,,40,5,400
감자전,,45,5,380
동그랑땡,,20,3,300
계란말이,,5,2,180
두부부침,,8,1,200
와플,,45,20,350
마카롱,,20,18,150
티라미수,,35,25,400
초콜릿케이크,,50,35,450
치즈케이크,,35,25,400
도넛,,35,18,280
크로플,,40,15,350
붕어빵디저트,붕어빵(팥),42,18,230
호빵,,40,10,250
츄러스,,45,20,300
젤라또,,30,25,200
아이스크림,,25,20,220
빙수,과일빙수,60,35,350
팥빙수,,65,40,400
인절미토스트,,50,20,350
마들렌,,25,15,180
아메리카노,,2,0,10
카페라떼,,12,10,150
카푸치노,,10,8,120
바닐라라떼,,25,20,220
카라멜마키아또,,35,30,280
프라푸치노,,45,38,350
초코라떼,,35,28,300
자바칩프라푸치노,,50,40,400
밀크티,,30,22,250
스무디,망고스무디,40,30,220
콜라,,35,35,140
사이다,,33,33,130
골뱅이무침,,25,10,300
노가리구이,,2,0,150
감자튀김,,35,2,350
나쵸,치즈나쵸,45,5,450
치즈스틱,,25,3,300
팝콘치킨,,25,3,400
소시지야채볶음,,15,8,300
맥주안주오징어,오징어채볶음,20,10,280
편의점도시락,,80,10,600
삼각김밥,,35,3,180
컵밥,제육컵밥,65,8,450
냉동만두,,35,3,300
즉석국밥,,45,3,400
핫바,,15,5,150
콘도그,콘치즈핫도그,40,15,380
유부초밥세트,,55,10,400
도시락김밥,,55,5,350
볶음우동도시락,,60,6,450
